Id,sessions_in_previous_30d,total_previous_sessions,sessions_visited_news,sessions_visited_video,sessions_visited_retail,sessions_visited_ticketing
055786a6-6af4-4f78-a53c-d36091702fd5,2,52,9,6,0,26
05813f70-fcb1-48d9-8afe-e56418dd5d8d,0,10,0,0,7,0
05bac21b-45ff-493d-8992-637a09554a3d,0,34,1,34,0,0
061a64ee-4502-421b-99a5-5b321a5f63aa,0,1,0,0,0,0
06a698c8-cecb-44d6-ac7b-2d4e8ee594db,11,154,4,1,42,93
06fd37b4-c9ff-43d8-800e-45ea941a5611,0,8,3,5,4,0
07896c11-a1a7-48ea-b934-a8a4b0016811,0,2,0,1,0,0
079288c7-4334-4a0e-89c0-9df987e28c41,0,1,0,1,0,0
07a76e4b-331d-4e26-a98f-4c43e3400dfa,0,6,1,2,0,0
07e34cd6-0dff-4126-9484-97613cf3f7c2,0,5,1,2,0,0
07f7db45-6a24-47a4-8a32-4b05d9e456df,0,26,1,7,2,4
07fd9d8d-0429-4211-8dbc-e469c79f64fe,0,18,5,7,1,2
07fe2cad-2d18-4b55-b9fd-33fdcf5fd2a8,0,2,0,1,0,0
081733c8-aebd-45a0-8b35-8203e902c7d1,26,179,4,152,1,2
097ed98d-13b7-4744-84f6-d4d4a301571a,0,8,0,2,0,2
09cc11e4-7f4e-453e-ae13-47943635cc7e,0,5,0,0,0,0
0a8802f4-b01a-40ff-b29b-bcf073fc8d66,0,2,0,2,0,0
0a8eaf8b-3867-4d1d-b056-4d5763d8408d,0,43,0,1,28,17
0a987462-8b4f-4ac6-9982-f23d28cc25d7,0,2,0,0,0,1
0affcd10-2cb9-4d29-ba3b-de0c85f432dc,2,35,0,1,3,26
0b1d0b3d-0ec6-4374-b78f-f91e8c0382d4,0,5,1,2,1,1
0b3f69f2-4857-4622-b79e-a07699098dfd,0,2,0,2,0,0
0b7b762d-3a20-458e-8ce1-5cb08dbce741,0,30,0,11,9,4
0bb06110-625e-4524-9eb8-9ecfdbfe0654,0,5,0,1,0,0
0bb3b194-3a85-4252-bad1-55140aa70625,0,26,1,0,1,18
0bf0de51-4956-4a28-afde-aeac4a7f3d45,1,4,0,1,0,1
0c28b652-0cf0-4613-9b83-745fd53ab96a,35,291,31,2,1,254
0c8cb525-129f-44f9-b634-f423d54ae254,2,35,1,0,28,6
0cf8a813-9c3b-420a-800e-8839471891b0,0,4,1,0,1,0
0d507de0-7ac0-4281-906e-d07597179505,2,3,0,0,0,0
0d7d0a20-1e34-4cc3-90a0-73dbf989926c,0,1,0,0,0,1
0d928b9e-5f5c-41d3-ae3c-7dcf58c8690a,0,10,1,0,2,1
0d9ae74c-7178-489b-ad42-414a57b0be25,2,10,1,2,0,1
0e8b4466-9728-4728-9172-85baae82746a,0,5,0,2,1,0
0ed9e4e7-3d98-4907-b478-a530f865707a,0,4,0,0,0,2
0ef72a8c-633f-4cc4-bbb3-68cfe93e929c,4,149,85,23,3,1
0f30cb7a-e85c-45ce-8f1a-2b457fed49dc,14,163,5,4,14,113
0f4e5461-f67d-4629-9ff6-b36ab8647151,3,21,0,1,3,14
0fb8db64-dd3f-4154-98ca-3d3e49358f7d,19,223,9,1,49,169
1021a53f-91b6-44f8-a143-dd95e07dcd5f,6,73,0,7,46,14
1071bcec-696a-419e-89ab-25359134f3d7,4,42,2,0,2,37
10727a67-e7ed-4f7e-916d-7679d31b658a,0,3,0,3,0,0
112a6a4e-9d1b-414e-8584-74acd2013835,0,7,0,0,0,1
117dab8d-bd95-4955-8d6f-78fcc8b84f6d,1,17,1,7,2,0
12d77c32-bad6-44d0-bab4-26bfe998132d,0,4,0,0,0,0
12dc399f-cc45-4b38-b5aa-6f2f45c4a96b,0,4,0,0,0,0
13e59a61-fac9-4d7e-9b47-adee06d640f8,0,1,0,0,0,0
1434754a-afef-4804-a55a-91d5db15a42e,0,6,1,3,1,1
145cd61b-209f-465c-b987-874e6a61574e,0,1,0,1,0,0
148cd59b-24d3-4abe-81ca-af54398340f1,0,5,2,1,0,0
14c7ee4d-4670-4f7c-8723-ee485c599e6d,0,10,0,6,0,0
1523488c-d99f-4a95-b9b9-3081b16fb460,12,75,3,2,4,55
15824b1b-23cb-4590-a4ac-73c55202ccc5,2,24,0,0,4,13
158ce359-445d-4074-895b-d2f53cac3bbc,0,18,5,3,0,3
1626b7f2-b4d0-4d94-8e02-ccfddd2a0175,0,1,0,0,0,0
166ae97a-75a3-4ff3-849a-668a06edd514,7,32,2,17,6,6
166e5278-3228-497f-9a56-dc0ccd5da90a,0,1,0,1,0,0
16818b4f-e881-4111-87fe-a9f670ef2817,11,87,6,8,1,69
168c6e96-0ddb-450e-8ef5-09752a307a93,0,3,0,2,0,0
16b44f6c-545b-4039-997e-2810a2cd975e,0,14,0,0,0,7
16c4deb9-5d96-46ac-855f-50828e197657,2,8,5,1,0,2
174a2dcb-c064-43e5-a884-d1b7236febe7,0,4,0,0,0,0
18085e7f-9b0e-4fe3-8c5f-38e24e90ae8b,0,12,0,0,0,10
186bd722-93a8-48f3-8156-05b1415d74c6,0,7,0,0,0,4
18733315-4471-4fc6-b720-70896b82945b,0,1,0,0,0,0
187a00c5-1c80-44ee-9a7f-6e17589d4aa7,7,99,3,7,14,4
19083f42-38cf-4f2b-ba6f-140eef82cb60,8,91,3,2,13,39
191bb452-ac2b-4661-ac81-3cedf343ad84,0,35,6,20,0,1
1935241b-68ce-469d-b05e-e20991648243,0,3,0,1,0,0
19d104c3-d8c0-4de6-8ba0-66991f9e2d6d,0,45,0,43,0,0
19e97852-ecb3-4a82-8694-885bccfad5a3,0,1,0,1,0,0
1a8aa22f-523f-4479-84fa-4340d951e63b,1,58,0,0,9,42
1afd8f06-cf30-47a7-9b9e-b1cec951e1ea,3,3,0,0,0,0
1b17005e-b761-4e80-a3f1-025af6bea27b,0,5,0,1,0,0
1b23a6ff-d64a-45f8-8d8a-da55e45aef7c,0,37,9,1,5,7
1b2f560d-7877-4387-9a14-b4620f5d61ff,6,76,1,75,1,0
1b3cfb4d-cec9-4e40-bd51-06181b2d7213,5,12,0,0,4,6
1c3b430f-7b5b-48e6-8d7a-5ce0530d61ea,29,31,0,26,0,1
1c516871-c921-469d-b7c2-d2d82cb00ca7,3,41,0,2,23,0
1c797b5c-e4f1-4734-b894-4043a1ca3690,0,56,9,29,12,7
1cd02206-3858-4fa3-a17d-905f601b1a59,0,35,7,2,0,6
1cf4c9d2-b957-4a80-a450-447451c23c1c,18,400,220,53,3,25
1d985748-4cb4-46e0-a52d-08cb6f263e2b,0,3,0,3,0,0
1da0cdb4-4bb1-45ea-bf67-b4ec0cd44d02,0,2,0,0,0,1
1da52e88-a884-4bc1-bacd-95f7f0bd73c3,37,332,167,201,0,1
1dcd8b05-9da8-4247-b552-a4df6ae3c8d5,1,11,2,6,0,0
1dd4090d-82cc-4232-987e-86f82cccb34a,6,99,4,1,0,32
1e0247ee-b30b-4f5d-8bbf-0825b246ed5e,0,9,0,2,2,0
1e056dd0-3fe3-4c35-aea2-900ce526e8d4,0,14,1,0,0,10
1e9fa9a1-7586-4904-8877-b92a729973e2,0,1,0,0,0,0
1ee6cf4b-31f8-4c7a-9261-1d5eb439e9d4,21,41,0,41,0,0
1efbf1c6-6769-4d70-af26-067bebc1828a,0,12,0,0,3,2
1f0ce145-cd14-45f1-b2c6-4361d4b54e23,0,10,0,8,0,0
1fd44ebf-17e4-4efb-8224-3f83242f159f,3,3,0,0,0,0
200bac38-4709-48cd-86b7-76032daf4e38,0,11,0,3,1,1
20555555-f7bf-4ed0-9eb7-d252d430f411,3,3,0,1,0,0
20580b67-af61-4bcc-a767-79a6bb3e16d4,0,4,0,1,2,1
206101b8-1a84-4601-8fa1-587cda67917a,0,34,0,11,0,0
208f07da-6e36-43f0-925b-b61c831ce7a8,3,4,0,3,0,0
21525e84-5d26-4583-9de3-ea0ff0aeb276,1,12,1,0,1,2
2175eb4e-fd37-4862-9a0f-1abce823fa24,0,11,0,0,0,0
217b5437-3249-448d-a6ab-f26239701d87,1,1,0,1,0,0
21926c9b-d637-4856-83d5-e9cb8d73a767,0,3,0,0,2,1
21a28c2f-c680-4d06-b746-8c0c12059620,2,2,0,0,0,0
21b7b845-5634-4ec6-9d24-1d7be5e20ffd,0,16,3,6,9,0
21cdc57b-ab57-4ad1-aaa7-bd9798811806,0,2,0,1,0,0
222c9f0a-32ed-47e6-a41f-9c387b27b791,0,36,4,20,0,1
224194a9-9676-44e9-9566-d4cea93d0cbf,1,4,0,0,1,0
2266778f-5d36-4303-86b0-42cf4cbd4195,33,187,4,0,9,165
22bfdfe7-2661-4d69-84cb-6179ffcc323d,0,6,0,4,0,0
236047e6-c316-41dd-b57d-f54660403cdf,0,10,1,1,3,0
23740303-fd3d-4f8e-9ec8-0a57bee9ccb3,1,29,0,5,5,21
23ac4b09-951a-4147-9563-25cbdabedef1,0,7,0,2,0,3
23b9fe34-34cf-443e-abe8-5e861806e3f7,0,7,0,0,0,0
23eb2926-a3b1-4a06-a044-170ce9a078e6,0,1,0,0,1,0
23fd8841-2634-4462-a6cb-bfd29486ec2c,17,32,0,0,6,26
24056b34-3a8d-41f2-83a1-603a3413fde0,1,138,40,37,2,5
2414f9dd-8817-487c-b12e-9bab218ef7ac,0,2,0,1,0,0
247eca27-4051-4be4-90a5-7350f2251226,0,52,21,27,0,0
247f14d7-1f21-46fd-b23a-ffc953e72d04,2,42,0,0,0,37
24e7b16f-0063-4a14-bba7-40fd1c777f34,0,13,0,0,0,8
251c3a22-c2a4-4c9d-b5d2-f06aa7cbae31,0,2,0,0,0,1
252d28d7-3478-41cf-bcb3-572d1401a02e,0,3,2,0,0,0
25dd29e5-41b3-4967-a75c-b3bfb980343e,0,7,0,0,4,1
2636f6fc-bbd6-4d58-b43a-46cb9e071106,4,20,0,0,0,12
2642a782-5a25-4983-9616-63114bd5df7f,7,64,1,4,1,50
2650161f-c3cb-478b-8967-a0f8b34c2f02,1,1,0,1,0,0
2695e94e-9f3e-4e79-a260-d3d61fe7fbc3,3,6,0,3,0,2
26a342ba-4195-49ef-ae8f-882bdd934794,2,26,3,21,0,1
26af59e9-05c4-4e21-832b-c09a9cea7450,0,3,0,0,0,0
27363542-dd53-4619-a04b-0a01b4ea2bc0,32,104,1,0,3,80
2739841d-a73d-47ef-a25d-0eb1165f602e,2,301,157,123,5,3
279799b1-457d-41c3-b5ad-4be743aad309,3,3,0,2,1,1
27ac365f-3691-497d-bc09-1eb4c5421fd6,0,4,1,3,0,0
27eec96c-c428-4f4a-8f16-9fc30cf3aa6a,1,94,4,0,11,56
2886c67c-5e5c-45b3-9b03-d79ca3e4ccf1,0,36,14,11,0,2
28ed8944-9ba1-4b2c-8dfd-fc63d9677db2,0,42,5,5,0,21
29dead35-d8d2-4436-9063-67efc93daec2,0,5,0,5,0,0
2ad01c30-301e-4fa0-8fba-02f97dc553e5,0,5,0,0,3,0
2afaeec5-3259-4696-9e68-68d4dc572055,0,12,5,1,0,0
2b44b219-5d9f-4ef8-9b4c-e16fa09fd050,0,3,1,1,0,0
2b4cb79c-d354-43b6-be20-214f1596a53d,0,1,0,0,0,0
2b741458-fee5-4dd2-9704-bc3deef86e93,12,374,18,11,50,280
2ba3e9e0-c911-40fd-a25c-bf3365aac18b,1,4,0,4,0,0
2bf02fff-84f0-4419-beb4-315cdba25d7c,0,13,2,4,0,0
2c031e78-ab37-48f0-8bb2-d266c3da86fa,0,1,0,0,0,0
2c131b37-43d7-494f-b0c1-f0ee84eaf4a7,0,7,0,1,1,1
2c43884f-1d1e-48a4-87b6-4ed433e61097,0,5,3,2,0,0
2c73eb83-451e-47b5-a289-4781f6d3bec0,0,104,2,85,1,0
2c7a6544-a482-40f8-a43a-638ac4badc16,0,11,0,8,0,0
2ce88fc8-25c5-4a07-a8b4-83a4f3a8f9e6,0,1,0,1,0,0
2d0a752f-8cec-4fd1-ade7-07c455d2e902,4,4,0,1,0,0
2d1fa093-8a04-4125-89a0-22ec565964df,0,5,0,0,0,0
2d6d1ce3-a762-44c2-be65-02026a6eac86,3,85,26,22,23,7
2dae8b0e-74a0-4735-982f-595da83ffdb0,0,1,0,1,0,0
2dafddaf-a84e-4ba5-ba92-30cb71c6e434,0,1,0,0,0,1
2ddf8007-4144-45aa-a928-873f28a58787,0,2,1,0,0,0
2dfe9932-02ce-4120-a443-94d8b9535589,8,138,20,8,38,5
2e1f5f23-6328-4598-8277-4efe17175c66,0,2,0,0,0,2
2e5ca15d-b573-4a76-a95f-af3d307c96a7,0,66,0,4,2,13
2ebe9ccd-c186-4954-a9df-7340f922c33b,0,1,0,0,0,0
2ec2d370-fce7-4576-bcf2-70881dadc8ce,4,12,0,3,6,2
2f1ed100-7579-490b-9087-a188d4d82704,0,3,0,1,0,1
2f2e94e1-5118-40d6-930e-7ff3239ff63f,0,5,0,1,0,1
2f627984-0dc4-434d-bce9-a00edc0e3e40,0,1,0,1,0,0
2f641ae9-7714-40c1-bf30-f86b8222d83d,0,74,2,0,7,37
2f87fca7-85e4-410b-9e7c-e6ba32062ca4,2,7,0,1,0,0
2fa1a7fe-b922-462d-849b-599a983cbbd0,0,3,0,0,0,0
2ffd9ba2-3b6c-4b64-8c6a-0d130e21274d,0,3,0,0,1,0
30322759-8fe8-44ca-8514-3af101f89b87,0,9,2,3,0,0
30d5ecf4-3c25-4565-a749-a834b3511a3d,0,1,0,1,0,0
311abb0d-16c0-4a07-a782-5eaf7605af6c,0,1,0,1,0,0
31a88243-796a-4fb2-bb56-b818386e0e38,0,2,0,0,0,0
31bbeb5a-b31d-4665-8c5d-28e06507ab83,2,3,0,0,1,0
31fa3589-006b-44c3-a397-62d09637423e,0,6,2,6,0,0
329dcf7a-10d6-49a6-a157-b49582077f01,0,10,1,0,0,7
32a7824f-e19f-488c-8ae9-ab964e4123f5,0,4,0,0,2,0
334b52e5-fe5e-4c0d-9696-93bb4b947feb,2,23,3,12,2,3
3391246c-7afb-46b3-ac76-352991864adc,2,12,2,0,1,4
33bc50d3-8deb-4e9f-84e7-034b1eeea1a2,0,12,0,1,3,4
34011f82-28b2-4a84-91ca-501cc862f599,0,17,0,14,1,0
348f14e3-da84-4ffc-8a4f-8d1be88190a0,5,5,0,3,0,0
349dbcd2-e4fd-493e-b933-c4b0aad4d6f7,5,7,0,1,0,3
34c8d5f5-796e-44e3-8b06-6ff394a3b673,33,110,5,0,7,75
35896f8c-e09f-4aaf-893a-42fe78687dda,5,5,0,2,0,0
3647704c-4ff1-4ad1-8c6b-3b037b20f69a,0,19,4,0,4,3
36610458-ff99-4582-9947-8b18e6a4c64d,0,2,0,2,0,0
367b7919-966d-4613-b448-a145753259c7,1,20,0,1,4,1
36ef4896-e0d7-475a-af78-21ab29fa5865,0,45,3,29,0,0
3701338b-1106-481e-a0b3-09e7843e5f9e,2,2,0,1,0,0
37053a85-8ac4-4b84-99ea-77e253f25352,9,9,0,9,0,0
3733f371-4c27-4112-9984-f45102cfe60d,0,54,3,14,2,18
3735f8bd-ec3e-4dac-aba7-4aae53d1acba,0,11,3,6,1,2
3777262d-2625-4590-a557-ae5b1c120ca4,0,12,2,5,2,0
37d0e38c-bdb0-4f28-a7f2-0f0fe2882e92,0,1,0,0,0,0
37e15137-d7d7-4788-ae89-258907cd998b,0,15,1,0,1,10
3846771f-e99e-4a01-9d7b-247b9cf78eca,2,50,7,30,4,2
38764a1e-5ca3-4d58-9bdb-99bcbd12c296,7,7,1,2,0,2
38b76590-653a-480d-bde7-ea6506d26262,3,32,0,2,1,5
38b790e3-7147-4089-9469-d5a26f0c5864,13,53,7,26,0,11
38e5ffee-07ee-4321-b677-34e0fda3bca9,0,10,0,0,5,1
38f0ddb3-97b3-42c4-b546-215b4deac33e,0,10,5,0,0,5
390abbb9-5c59-45e3-8ae0-78e9deaef05c,0,4,0,4,0,0
39187102-6075-451f-8777-1b8317ef4b3b,0,4,0,2,0,0
394235a8-a786-45d9-a79c-34fde951d182,4,123,12,2,2,89
39702a21-4bb9-4929-a3ed-abd8060d00b1,4,13,6,7,0,1
3971b0c5-0d1c-41dc-95f7-9cfcc4ff494b,0,24,4,12,0,0
397a994d-9e08-4531-9e57-08ee0c203230,0,3,0,2,0,0
39fef8fc-8eca-405e-8bb6-5c73cd9f7921,0,5,0,1,0,1
3a3885a9-0d91-4786-a11a-140da90ff056,0,14,0,1,4,5
3a45f70b-4569-4f87-97e0-801ca0dcb2a1,0,61,3,10,2,42
3a4802cf-fd1a-4bbc-b37e-df4656f89313,7,28,2,1,3,8
3a604453-f57d-4795-936f-b3cc0b93332f,0,1,0,0,0,0
3acebd38-fe9b-4126-90e8-2948bdbef150,0,2,1,1,0,1
3b627e36-5396-4634-821c-f14e26de9e1d,7,48,5,11,0,21
3b9d96e7-f3e3-4fcd-bba8-96e17d4c036b,0,68,3,1,3,53
3c241884-b625-4891-8df3-f515bfc4da36,1,26,2,3,2,2
3c53ad87-6b61-4c06-890a-8263b3492792,18,207,13,1,2,183
3c5d48e2-67c0-4b63-b581-787d033071e1,0,5,1,1,2,0
3c833fe6-6cbd-4cc4-996f-7acd2c47619f,57,369,44,29,178,57
3ca214d6-1269-4042-98b6-e437e6673e53,0,13,1,2,0,7
3ce57042-e76c-4cd8-92c0-efe3c5cae693,1,65,22,33,2,0
3d0cefeb-065b-4635-bb16-d112aa02084d,1,244,37,16,17,172
3d26056c-2f00-4e32-b5e3-43276fbdce62,9,14,0,14,0,0
3dfb4ccf-a72c-4ec3-95d0-5e9c6c12afd8,0,3,0,2,0,0
3e2e6410-40e5-416a-973d-f37aab1d356f,6,95,7,7,4,79
3e5ac764-f5c6-4cb9-8c86-c143e5dc2e08,3,14,8,3,0,1
3e92098f-1923-411a-8555-0d28711dbaf4,0,32,2,23,0,0
3ed41aa5-45af-45f9-b285-9aecd543fb5f,1,17,6,9,0,3
3ef77d0e-eacc-4edc-b270-1c44ec054ff3,0,1,0,1,0,0
402acf4e-2364-4ba2-a893-40077a808783,0,8,0,0,2,0
406ffb13-7d44-4977-8e8e-fc20cbd5029a,0,1,1,0,0,0
4076b07a-00f3-4c95-9941-9c4380e21004,0,3,0,2,0,0
417ba7ae-a33c-4bf8-9896-5dc71b12bb88,0,11,0,5,0,5
418fbd67-8709-45ba-943b-42bd6413d9c5,2,8,2,1,1,0
41ddc7f2-6c98-4389-a7f7-ab90d244293a,1,18,0,1,1,7
41e0cdf8-c4b4-49f9-9640-77b850fdbda6,1,4,0,2,0,0
41f1d3fb-936f-41a9-8143-91ca1d146d61,0,4,0,0,0,1
421280af-3a59-4112-8e58-c28fa8eb813a,2,48,13,23,2,1
4317df5b-ac95-4555-821d-e3671de3e239,22,98,6,0,15,41
436936f0-fd96-49cb-b77a-1154a1f0e4f7,0,2,0,0,0,0
43e90d1b-5a63-47b5-8e08-353c019e5778,4,9,0,1,1,4
440f6c37-539e-4ddc-accb-0bfeb9d45104,0,1,0,0,0,0
441d5da2-fb75-4866-937b-d8dfb94c7feb,2,4,1,2,0,2
44316265-6297-4f91-b2f8-a9c5b0f6ddb4,8,33,8,0,3,0
443b0ea8-b882-4af9-a9d8-a33e68d9b533,4,28,7,0,4,15
445f15ba-731e-444b-be32-28528eee37b5,12,358,215,198,0,28
448eb81a-70a1-4fbd-b38c-451e91f13ad1,3,49,3,3,0,13
44cd6948-4d56-4d73-81d9-b02491f5ac23,3,5,0,0,4,0
4501015b-7180-467c-bc14-a7fc5299a262,1,6,0,6,0,0
4519ca87-96f4-45ca-bd7d-ffb5f14a066b,0,4,0,0,1,1
45474353-f9b5-4578-b368-4c12a1dd26c0,2,2,0,1,0,0
45576f02-c531-425e-b296-aac2a36f021b,2,4,0,2,0,0
4563dd8d-beb8-4616-b9d4-8028f7b16c87,0,3,0,0,0,0
45a3a854-3050-4edc-bfa3-5ea8802e9663,0,3,0,0,0,1
45f3a351-569b-47fd-be97-719c26a90ce4,2,20,1,2,8,2
46424bb3-e680-4304-a848-0440f25722eb,0,9,0,0,2,0
469c99d7-c15a-4ede-9d74-7417219b5008,0,9,0,5,0,3
46c147a5-477e-4f1b-9e06-759956079624,23,170,12,1,17,112
46c955d0-a4e3-4b82-aba4-cb26b639c122,0,22,7,4,0,5
46e8843c-d26c-495c-88e8-1ba3c4e64104,0,6,0,0,0,0
4705a724-2cec-4c50-8f84-b34acc949bd4,0,6,3,3,0,0
481db86d-1301-4508-9ec7-8cdde3262c17,0,6,0,2,0,5
4883bb8c-1681-4f90-ab12-de32677ac2b5,0,12,1,4,2,0
48df568f-ef1f-47e4-9acb-5d3672aeedd0,2,4,0,0,1,2
4910aabf-9667-4d2d-83ec-623d2af9ec0b,6,333,135,63,0,13
492ac21b-10ad-4bbf-9711-828ea3936d23,16,55,12,5,0,8
49699976-955d-4d84-b55a-2d4554becc54,0,8,1,2,1,0
4977865f-419a-4949-a09b-43cf39320f92,1,36,0,4,2,17
49e37abf-1862-44d5-96a6-7a7813f56583,0,5,0,2,2,0
4a830fab-d8b2-4eb3-9771-096506020f51,4,214,12,27,8,144
4a9ccc65-5ea5-4766-81d8-7410febc329a,0,5,1,3,0,0
4ab575d7-9903-41ea-b8ad-855594a3ac6e,0,1,0,0,0,0
4b01a9c2-3996-4164-9a08-b4fa215c381e,15,89,29,55,0,5
4b06bc7b-0035-4422-8c49-e8ac67748153,4,4,2,0,0,2
4b0a689c-6ab0-4551-accb-33850e321b1e,3,7,1,1,1,2
4b472e0a-b335-4d41-8d47-d57189669e25,5,26,1,0,3,3
4ba3657a-32b1-4dd1-8cce-bba974c472e2,0,6,0,2,0,1
4c0cb161-4bcf-444b-889a-d4a3d420eaf9,0,2,0,0,0,0
4c686807-f99a-4087-a3d7-cb104f1b35ba,0,3,0,0,0,0
4d3ed0ad-17dc-4aba-942d-e14513b642e3,4,42,2,2,4,1
4d776f29-9ddf-44f0-b4a1-b2a666b19f95,12,135,11,1,8,114
4db981ae-9c97-4e1d-b871-474be2abf35d,8,55,9,1,3,40
4f0fcdbb-ae2d-46ba-847a-1466d297faab,17,21,1,20,0,0
501998fc-5b3e-400c-8bc9-3979f2c5dadd,0,4,0,3,0,0
5057cb06-2893-4769-bd19-2bec2dc34b39,2,2,0,1,0,0
50a72908-410a-46e7-b562-569e1d50a23e,1,25,1,4,2,8
50c4441d-2bad-4055-84a0-7516f40c60fa,0,2,0,0,0,1
519552c1-18fe-461e-a25f-cd2ea36f83c2,0,4,1,3,0,0
51a7d15f-b579-4a67-9dff-faf1fe51cbfc,0,15,4,4,2,1
51ad168e-83f0-4ce0-ac14-e1b022b6bf5f,0,7,0,3,0,0
52173647-6e79-4714-9161-6b155178a342,5,172,14,0,8,163
5254f87b-2957-48b2-907a-d95d8831f600,3,57,8,7,0,18
52584252-3bf4-40fd-bef3-e4bf67452d7c,14,151,3,0,4,140
52bc6335-9e94-4e64-99db-5764780652bc,0,3,0,1,0,1
532bbad9-ffac-48ac-9830-fd945a6539a3,0,6,0,0,1,2
53849184-b374-4419-956a-8497e153e586,4,42,2,2,2,31
53bc7787-b2d1-46e3-ae89-4cd5cfb52da0,0,1,0,1,0,0
53e56fd5-08e5-4486-b6b7-8822e20dd766,15,17,0,2,9,0
540d5b6b-7e01-4fef-855d-80d455b8d67d,0,3,0,0,1,0
54b34c83-382b-483d-90fa-866ef5ff4343,0,5,1,1,1,0
54f80a0d-d91c-4048-83ad-080f9dc93a92,0,83,5,6,2,70
550efa7e-81a4-44d2-975a-1d7a35806d80,0,3,0,3,0,0
552d8c51-239d-41c2-9c7d-401a18d0341c,13,131,10,9,16,86
55492fd1-bee3-4c8d-b130-3be672dbdc47,0,25,0,2,7,9
5551b3c5-8a80-4eab-bc9f-1f664f9504bf,0,15,1,2,2,8
559f2950-e16a-4bde-aef8-59f04d0d31e0,0,37,2,9,1,1
55b75444-1fbf-41da-b981-72c3e3d74a8d,13,65,0,17,7,32
55e048c5-cb10-4e10-8ff9-b974ce61b848,100,729,128,6,18,592
55e61c0e-79d9-4106-8eb6-2018a703338b,0,27,0,2,0,16
5689c1a1-af80-46d3-b181-4cf3b01bcb36,2,2,0,2,0,0
56c3c7a2-4ec3-4ce6-addc-8354d7795913,0,1,0,0,0,0
5719f0a0-061b-43e0-b7d3-2ac890c09446,12,21,7,0,1,4
576e4b2f-c20e-435e-9632-47f692e1c6e6,0,35,0,0,1,26
58c22107-543e-45fb-a0aa-74530d817e81,41,366,10,12,0,322
58c812da-2bbd-4fed-8944-5536c950daae,0,3,0,0,0,1
58dcadcd-7570-4907-9899-dbfb59a39769,0,4,0,0,2,0
59a470e5-e245-4240-9757-598b2ce53b20,0,5,0,0,2,0
59b22ef4-153e-428c-89f9-3d4c611d0ceb,1,2,0,0,0,0
59cc8cc6-e1c3-49db-8399-8ccaca795248,0,1,0,0,0,0
59d42550-e797-48ac-8460-dedbcff483b4,0,4,0,0,0,4
59e03dea-94c8-4d62-9614-cc77315f195e,22,410,60,144,52,75
59ff0779-f328-41c4-b2fa-9a70537dcda4,0,7,1,1,1,3
5a329be2-8ebd-4eed-ab81-74145db4a9b0,8,17,7,5,10,0
5a4164df-2b64-4b62-9a3a-d031f8612c86,32,365,27,11,46,210
5ac3a6bd-3b7b-4745-9cad-383e34c319d4,3,169,8,10,6,129
5ac90979-6d0b-4d73-a8eb-d6340312b034,1,15,2,2,0,0
5ac9f0dc-c908-4f9c-944e-4c83dedb9d9a,0,3,0,0,1,0
5af4ef2d-1324-4b7b-a4aa-41212275e0e5,38,497,106,67,31,210
5b19bb98-9561-4883-874e-d92ffc40e816,0,1,0,0,0,0
